event_id,customer_id,event_type,event_date,device_type,traffic_source
E00001,C03744,Checkout,2026-02-13,Desktop,Direct
E00002,C02738,Visit,2025-05-07,Desktop,Google
E00003,C00891,Product View,2025-02-14,Mobile,Facebook
E00004,C04953,Purchase,2025-02-15,Tablet,Instagram
E00005,C03042,Visit,2026-03-09,Tablet,Direct
E00006,C00460,Product View,2024-11-24,Desktop,Instagram
E00007,C03755,Product View,2024-06-28,Desktop,Facebook
E00008,C01356,Checkout,2026-03-06,Tablet,Google
E00009,C00590,Visit,2025-07-30,Mobile,Facebook
E00010,C04609,Purchase,2025-04-03,Mobile,Direct
E00011,C03050,Product View,2025-01-25,Tablet,Google
E00012,C01811,Add To Cart,2025-04-24,Mobile,Direct
E00013,C00746,Visit,2025-09-11,Tablet,Instagram
E00014,C01940,Purchase,2025-08-16,Mobile,Google
E00015,C04799,Visit,2025-06-23,Mobile,Direct
E00016,C03082,Visit,2026-03-05,Desktop,Direct
E00017,C03007,Product View,2024-12-18,Desktop,Google
E00018,C01545,Purchase,2026-04-27,Mobile,Facebook
E00019,C02541,Product View,2024-06-14,Mobile,Facebook
E00020,C03970,Add To Cart,2026-01-22,Mobile,Google
E00021,C00742,Checkout,2026-01-19,Mobile,Instagram
E00022,C03503,Visit,2025-01-18,Tablet,Facebook
E00023,C00024,Visit,2025-08-16,Mobile,Direct
E00024,C01634,Product View,2024-11-17,Mobile,Facebook
E00025,C03279,Add To Cart,2025-03-23,Desktop,Facebook
E00026,C00911,Product View,2025-10-24,Desktop,Direct
E00027,C02358,Add To Cart,2024-06-30,Desktop,Instagram
E00028,C04999,Purchase,2024-12-02,Desktop,Facebook
E00029,C04277,Add To Cart,2026-04-26,Mobile,Instagram
E00030,C04258,Visit,2025-08-01,Tablet,Facebook
E00031,C02372,Checkout,2025-10-11,Mobile,Direct
E00032,C03066,Product View,2025-01-06,Desktop,Instagram
E00033,C00310,Visit,2025-12-11,Mobile,Instagram
E00034,C03956,Visit,2025-10-06,Desktop,Instagram
E00035,C00910,Visit,2025-01-27,Mobile,Direct
E00036,C01889,Product View,2026-04-21,Desktop,Direct
E00037,C01318,Add To Cart,2026-02-06,Mobile,Facebook
E00038,C04164,Add To Cart,2025-03-15,Mobile,Instagram
E00039,C03759,Add To Cart,2025-09-01,Tablet,Direct
E00040,C04065,Add To Cart,2026-01-22,Desktop,Google
E00041,C02713,Visit,2025-03-18,Desktop,Instagram
E00042,C02057,Visit,2024-08-21,Mobile,Google
E00043,C04982,Visit,2025-01-10,Desktop,Direct
E00044,C01089,Visit,2026-04-29,Tablet,Facebook
E00045,C02746,Purchase,2025-02-23,Tablet,Google
E00046,C01984,Checkout,2024-11-06,Tablet,Direct
E00047,C03780,Add To Cart,2024-08-17,Tablet,Google
E00048,C00555,Add To Cart,2025-12-11,Desktop,Google
E00049,C03259,Visit,2025-05-14,Tablet,Google
E00050,C03051,Purchase,2025-08-12,Tablet,Direct
E00051,C03305,Add To Cart,2026-02-07,Desktop,Google
E00052,C00925,Visit,2025-08-01,Desktop,Direct
E00053,C03155,Visit,2026-05-25,Mobile,Google
E00054,C00275,Product View,2024-10-07,Tablet,Direct
E00055,C03472,Visit,2025-09-09,Desktop,Google
E00056,C03328,Add To Cart,2025-05-22,Tablet,Instagram
E00057,C04660,Product View,2026-05-03,Desktop,Instagram
E00058,C02445,Add To Cart,2024-09-29,Tablet,Google
E00059,C03939,Visit,2025-08-10,Tablet,Facebook
E00060,C02440,Add To Cart,2025-02-20,Mobile,Google
E00061,C04694,Visit,2026-04-02,Mobile,Google
E00062,C01463,Checkout,2025-09-10,Mobile,Facebook
E00063,C01020,Checkout,2025-05-29,Tablet,Facebook
E00064,C00679,Product View,2025-04-22,Mobile,Facebook
E00065,C03809,Add To Cart,2026-02-10,Desktop,Google
E00066,C00800,Visit,2024-08-08,Desktop,Facebook
E00067,C00227,Visit,2025-08-12,Mobile,Google
E00068,C00008,Visit,2026-04-12,Mobile,Instagram
E00069,C04912,Product View,2025-02-10,Tablet,Facebook
E00070,C04008,Visit,2026-06-02,Mobile,Direct
E00071,C03432,Visit,2025-11-25,Tablet,Instagram
E00072,C01571,Product View,2025-07-03,Desktop,Instagram
E00073,C00280,Visit,2026-05-15,Mobile,Direct
E00074,C00306,Visit,2025-12-15,Tablet,Facebook
E00075,C02386,Add To Cart,2026-04-22,Tablet,Direct
E00076,C04536,Product View,2024-08-26,Tablet,Direct
E00077,C02922,Purchase,2026-06-01,Desktop,Direct
E00078,C01123,Add To Cart,2025-01-13,Desktop,Direct
E00079,C00577,Product View,2025-04-09,Mobile,Instagram
E00080,C01907,Product View,2025-04-20,Desktop,Instagram
E00081,C01017,Add To Cart,2025-08-29,Desktop,Google
E00082,C01996,Visit,2026-01-09,Mobile,Instagram
E00083,C00247,Visit,2025-04-12,Tablet,Google
E00084,C04621,Visit,2026-06-03,Mobile,Facebook
E00085,C02029,Product View,2024-09-16,Tablet,Facebook
E00086,C04148,Visit,2026-04-09,Mobile,Instagram
E00087,C03868,Purchase,2024-08-17,Tablet,Facebook
E00088,C04685,Visit,2024-12-20,Tablet,Instagram
E00089,C02655,Purchase,2026-01-27,Tablet,Direct
E00090,C02888,Product View,2024-10-17,Mobile,Google
E00091,C04159,Checkout,2025-09-23,Mobile,Facebook
E00092,C01848,Add To Cart,2025-02-07,Tablet,Direct
E00093,C03992,Product View,2025-06-15,Tablet,Direct
E00094,C01360,Visit,2025-11-24,Desktop,Facebook
E00095,C03941,Visit,2024-12-01,Desktop,Google
E00096,C04973,Visit,2024-08-12,Tablet,Direct
E00097,C03622,Visit,2024-11-01,Tablet,Google
E00098,C02554,Visit,2024-08-17,Desktop,Instagram
E00099,C03961,Purchase,2024-07-20,Desktop,Google
E00100,C01025,Visit,2025-04-08,Desktop,Direct
E00101,C02965,Checkout,2025-02-18,Tablet,Instagram
E00102,C03596,Add To Cart,2024-10-26,Tablet,Direct
E00103,C01485,Product View,2026-03-14,Desktop,Google
E00104,C04330,Visit,2025-07-15,Desktop,Facebook
E00105,C03565,Visit,2025-06-20,Mobile,Google
E00106,C01955,Product View,2024-08-27,Mobile,Facebook
E00107,C03415,Product View,2024-12-23,Mobile,Instagram
E00108,C04721,Add To Cart,2025-08-31,Desktop,Direct
E00109,C01828,Visit,2025-12-15,Desktop,Facebook
E00110,C02254,Visit,2025-10-14,Desktop,Facebook
E00111,C02686,Visit,2025-11-03,Mobile,Direct
E00112,C02876,Purchase,2026-02-22,Mobile,Facebook
E00113,C01389,Visit,2024-10-29,Desktop,Direct
E00114,C02133,Add To Cart,2025-08-20,Mobile,Direct
E00115,C00409,Add To Cart,2025-10-08,Desktop,Facebook
E00116,C01426,Product View,2024-12-04,Mobile,Direct
E00117,C02301,Visit,2024-11-04,Mobile,Direct
E00118,C02102,Product View,2025-01-27,Mobile,Instagram
E00119,C03147,Visit,2026-01-12,Desktop,Direct
E00120,C02123,Visit,2024-12-20,Desktop,Direct
E00121,C03176,Add To Cart,2026-05-25,Mobile,Facebook
E00122,C04636,Purchase,2026-02-15,Tablet,Direct
E00123,C04869,Visit,2024-06-28,Mobile,Facebook
E00124,C04962,Add To Cart,2026-03-11,Mobile,Google
E00125,C04910,Checkout,2025-04-19,Desktop,Facebook
E00126,C00529,Add To Cart,2025-01-15,Tablet,Direct
E00127,C04319,Visit,2026-04-18,Tablet,Facebook
