review_id,customer_id,product_id,rating,review_text,sentiment_label,review_date
R00001,C00103,P0006,2,Not fully satisfied,Negative,2025-07-21
R00002,C02466,P0004,4,Nice product,Positive,2026-02-25
R00003,C04645,P0003,5,Amazing product,Positive,2025-10-11
R00004,C03887,P0025,4,Works as expected,Positive,2025-11-14
R00005,C01474,P0035,4,Works as expected,Positive,2025-03-06
R00006,C00033,P0020,3,Could be better,Neutral,2025-09-08
R00007,C00018,P0028,5,Excellent quality,Positive,2025-05-18
R00008,C03776,P0022,3,Okay for the price,Neutral,2025-03-17
R00009,C00387,P0012,3,Okay for the price,Neutral,2025-07-03
R00010,C00316,P0026,2,Expected better quality,Negative,2025-10-31
R00011,C00502,P0014,5,Highly recommended,Positive,2025-09-15
R00012,C02145,P0009,4,Good quality,Positive,2026-03-02
R00013,C04126,P0021,5,Excellent quality,Positive,2025-06-13
R00014,C03389,P0036,3,Could be better,Neutral,2025-02-19
R00015,C02860,P0040,4,Good quality,Positive,2026-04-22
R00016,C01832,P0037,4,Good quality,Positive,2025-05-08
R00017,C01368,P0024,3,Okay for the price,Neutral,2024-08-25
R00018,C00754,P0006,5,Very satisfied,Positive,2026-01-05
R00019,C00530,P0033,5,Amazing product,Positive,2025-05-11
R00020,C01275,P0004,2,Expected better quality,Negative,2025-09-13
R00021,C03897,P0037,2,Not fully satisfied,Negative,2024-12-14
R00022,C02492,P0019,2,Delivery was late,Negative,2024-10-13
R00023,C04134,P0008,4,Satisfied with purchase,Positive,2025-07-20
R00024,C01655,P0020,3,Okay for the price,Neutral,2026-01-02
R00025,C03389,P0005,5,Highly recommended,Positive,2025-09-10
R00026,C03375,P0035,3,Nothing special,Neutral,2025-08-29
R00027,C00799,P0021,3,Could be better,Neutral,2026-03-18
R00028,C04961,P0008,5,Highly recommended,Positive,2024-10-14
R00029,C03319,P0040,3,Nothing special,Neutral,2025-03-19
R00030,C01393,P0030,4,Good quality,Positive,2025-09-05
R00031,C01498,P0002,2,Delivery was late,Negative,2026-03-01
R00032,C04470,P0022,5,Worth every penny,Positive,2025-08-29
R00033,C04592,P0041,3,Okay for the price,Neutral,2024-09-23
R00034,C00011,P0030,3,Average product,Neutral,2025-12-13
R00035,C01976,P0022,5,Amazing product,Positive,2025-09-06
R00036,C04958,P0029,3,Could be better,Neutral,2024-09-13
R00037,C01452,P0030,5,Very satisfied,Positive,2025-10-16
R00038,C04224,P0014,1,Not worth the money,Negative,2026-02-03
R00039,C00104,P0038,1,Terrible experience,Negative,2026-04-03
